TIME,ATM,STRIKE,CE_OPEN,CE_CLOSE,CE_HIGH,CE_LOW,CE_OVERALL_HIGH,CE_OVERALL_HIGH_TIME,CE_OVERALL_LOW,CE_OVERALL_LOW_TIME,PE_OPEN,PE_CLOSE,PE_HIGH,PE_LOW,PE_OVERALL_HIGH,PE_OVERALL_HIGH_TIME,PE_OVERALL_LOW,PE_OVERALL_LOW_TIME
14:45:00,ATM-500,16600,530.0,530.0,530.0,510.0,575.4,14:50:00,456.5,15:20:00,5.05,4.4,5.9,4.35,7.5,15:30:00,3.85,14:55:00
14:45:00,ATM-450,16650,483.0,487.1,487.1,460.0,523.5,14:50:00,407.45,15:20:00,5.95,5.05,7.15,5.05,8.95,15:30:00,4.4,14:55:00
14:45:00,ATM-400,16700,426.85,441.0,441.0,412.0,475.0,14:50:00,351.4,15:20:00,7.55,6.3,9.0,6.3,10.8,15:30:00,5.4,14:55:00
14:45:00,ATM-350,16750,-,-,-,-,-,-,-,-,9.75,8.05,11.6,8.05,14.0,15:30:00,6.7,14:55:00
14:45:00,ATM-300,16800,332.5,346.05,346.05,318.0,380.0,14:50:00,259.85,15:20:00,12.8,10.45,15.25,10.45,17.85,15:15:00,8.6,14:50:00
14:45:00,ATM-250,16850,286.55,297.5,297.5,273.0,332.65,14:50:00,216.55,15:20:00,17.0,14.0,20.25,14.0,24.55,15:15:00,11.25,14:50:00
14:45:00,ATM-200,16900,243.0,253.5,255.0,229.45,286.0,14:50:00,175.7,15:20:00,22.8,18.95,27.15,18.95,33.9,15:15:00,14.85,14:50:00
14:45:00,ATM-150,16950,201.7,210.55,211.45,188.0,241.3,14:50:00,140.0,15:20:00,30.75,25.85,36.25,25.85,47.35,15:15:00,19.95,14:50:00
14:45:00,ATM-100,17000,161.35,170.55,170.55,149.8,198.0,14:50:00,106.3,15:20:00,41.5,35.4,48.0,35.4,64.55,15:20:00,26.85,14:50:00
14:45:00,ATM-50,17050,126.0,134.05,134.05,116.45,159.0,14:50:00,79.1,15:20:00,55.7,48.15,64.25,48.15,87.6,15:15:00,36.8,14:50:00
14:45:00,ATM,17100,94.9,101.25,101.45,86.8,122.8,14:50:00,56.8,15:20:00,74.0,65.8,84.3,65.8,115.0,15:15:00,50.55,14:50:00
14:45:00,ATM+50,17150,68.7,73.65,74.05,62.0,91.35,14:50:00,39.6,15:20:00,98.0,88.35,109.8,88.35,147.45,15:20:00,69.2,14:50:00
14:45:00,ATM+100,17200,47.5,51.35,51.7,42.3,65.05,14:50:00,26.7,15:20:00,126.85,115.65,140.2,115.65,185.0,15:20:00,92.9,14:50:00
